run,seed,fold,MAE,RMSE,peakMAE,n
10 가중치 0.1,2,2021-08,6.466047241497007,9.108379307194447,8.76474336497745,725
11 가중치 0.5,0,ALL,10.653084716462985,19.292753359556542,18.464492630509326,1757
11 가중치 0.5,0,2021-05,19.267970655212565,34.036706663498244,26.113397250911238,336
11 가중치 0.5,0,2021-06,1.1636679652573518,1.495265299190269,,48
11 가중치 0.5,0,2021-07,11.268747335715567,17.36306575865636,23.464300744279747,648
11 가중치 0.5,0,2021-08,6.738520511445523,9.773618662139848,8.758795107345074,725
11 가중치 0.5,1,ALL,11.157222636852529,19.92209343625281,18.192860039895482,1757
11 가중치 0.5,1,2021-05,18.653291305476493,34.707528055238434,27.807095730043493,336
11 가중치 0.5,1,2021-06,1.2022002748010117,1.5623283794024172,,48
11 가중치 0.5,1,2021-07,12.017885841702789,18.14041642325236,22.397010145072258,648
11 가중치 0.5,1,2021-08,7.573018835442663,10.453708591227066,9.75253303491394,725
11 가중치 0.5,2,ALL,10.592604021942476,19.54882521876577,18.81368195026378,1757
11 가중치 0.5,2,2021-05,19.613133721293188,35.81240055391762,29.413086822825314,336
11 가중치 0.5,2,2021-06,1.2741948345686678,1.5974265103406753,,48
11 가중치 0.5,2,2021-07,10.661689614769813,16.008302400209885,22.7851009665701,648
11 가중치 0.5,2,2021-08,6.967249812094183,10.125895889198627,10.707485756538196,725
12 가중치 0.7,0,ALL,10.68465166767334,19.508628742056864,18.816065255813214,1757
12 가중치 0.7,0,2021-05,18.542283277893414,34.15491156055107,24.092545063012636,336
12 가중치 0.7,0,2021-06,1.229043174097101,1.57388916452227,,48
12 가중치 0.7,0,2021-07,11.77675970153335,17.59294098695717,23.493142261834382,648
12 가중치 0.7,0,2021-08,6.6929537100408245,10.241549213147424,9.901655946055724,725
12 가중치 0.7,1,ALL,11.529931990891265,20.398167422793293,18.64380740373319,1757
12 가중치 0.7,1,2021-05,18.844245135833486,35.40157736793915,25.3219540257231,336
12 가중치 0.7,1,2021-06,1.2245444957204146,1.5630917871817809,,48
12 가중치 0.7,1,2021-07,11.763176406242073,17.49977363675147,22.011971084042056,648
12 가중치 0.7,1,2021-08,8.613941648712357,12.395790697009543,11.971674207561918,725
12 가중치 0.7,2,ALL,10.703385593300155,19.41385925425987,19.34369272014718,1757
12 가중치 0.7,2,2021-05,18.431906396256,33.99093188034277,27.562519444668236,336
12 가중치 0.7,2,2021-06,1.2392712026543498,1.5833456746669612,,48
12 가중치 0.7,2,2021-07,11.427070859165132,17.463630896633912,23.86902614560877,648
12 가중치 0.7,2,2021-08,7.101380694924055,10.255661832522131,10.445386115846327,725
13 가중치 1.0 (= 0번 검산),0,ALL,11.302662389721045,19.716313141279198,17.117553580301397,1757
13 가중치 1.0 (= 0번 검산),0,2021-05,18.805765789984395,33.716029900915565,25.11174583239296,336
13 가중치 1.0 (= 0번 검산),0,2021-06,1.097710250331845,1.459327775417783,,48
13 가중치 1.0 (= 0번 검산),0,2021-07,11.17952832217097,16.162406890404235,20.74294157031746,648
13 가중치 1.0 (= 0번 검산),0,2021-08,8.611056646237795,13.476618751783366,9.865168944650321,725
13 가중치 1.0 (= 0번 검산),1,ALL,11.757312523458765,19.83477949573978,18.302892476806015,1757
13 가중치 1.0 (= 0번 검산),1,2021-05,17.27048445794996,31.156533918699544,25.53963079108895,336
13 가중치 1.0 (= 0번 검산),1,2021-06,1.2373805772168294,1.575553440541657,,48
13 가중치 1.0 (= 0번 검산),1,2021-07,12.411120343632087,18.493213186326415,22.66047752688217,648
13 가중치 1.0 (= 0번 검산),1,2021-08,9.31436562133223,14.060786987637801,9.793858235941832,725
13 가중치 1.0 (= 0번 검산),2,ALL,10.964371765032006,19.704503841795045,17.444381396645937,1757
13 가중치 1.0 (= 0번 검산),2,2021-05,18.29766976249667,33.90811281639562,24.482794144305593,336
13 가중치 1.0 (= 0번 검산),2,2021-06,1.1305089885341912,1.491902029144664,,48
13 가중치 1.0 (= 0번 검산),2,2021-07,10.95628651078377,16.484949085805752,22.220827740462816,648
13 가중치 1.0 (= 0번 검산),2,2021-08,8.22406353175838,12.847294847238723,8.19585442907686,725
14 조합 + 가중치 0.1,0,ALL,9.378764583111113,17.395057078826483,19.22346571494812,1757
14 조합 + 가중치 0.1,0,2021-05,18.853931147439205,33.04698149671741,19.911286920497844,336
14 조합 + 가중치 0.1,0,2021-06,1.42294928905607,1.7143111397564144,,48
14 조합 + 가중치 0.1,0,2021-07,8.50982232394723,12.916904920221173,23.041928163854205,648
14 조합 + 가중치 0.1,0,2021-08,6.290899414060909,8.823399752285557,12.26310188573627,725
14 조합 + 가중치 0.1,1,ALL,9.824766526928814,18.23593625749004,18.244586041009192,1757
14 조합 + 가중치 0.1,1,2021-05,18.988565719637645,34.73350487526459,18.7806130017379,336
14 조합 + 가중치 0.1,1,2021-06,1.4419422672605922,1.817887603420752,,48
14 조합 + 가중치 0.1,1,2021-07,7.905092563831678,12.322385502710159,22.427576911273675,648
