날짜,fold,dow,is_holiday,day_prod,after_prod_end_hours,n,MAE,RMSE,bias,p90_abs_error,under_rate,peak_rate,actual_mean,pred_mean
20210727,2021-07,2,0,20776.0,0,24,12.56674352431198,15.535526117041119,5.853841478477246,24.811031821596483,0.5833333333333334,0.3333333333333333,145.16666666666666,139.31282518818944
20210723,2021-07,5,0,23560.0,0,24,12.33601500495756,14.975770302779043,4.888752926817454,23.32130082626007,0.5416666666666666,0.375,136.04166666666666,131.1529137398492
20210721,2021-07,3,0,19461.0,0,24,12.094925415869925,15.206468469362324,7.222726641121823,23.872595267050812,0.5416666666666666,0.2916666666666667,140.875,133.65227335887818
20210726,2021-07,1,0,24022.0,0,24,12.006953911418213,16.757963767834152,10.380134590579376,26.510072655010227,0.9166666666666666,0.25,111.66666666666667,101.28653207608728
20210813,2021-08,5,0,17668.0,0,24,11.91765966135462,13.906770596903153,11.582387240287622,19.19667714615256,0.9166666666666666,0.2916666666666667,139.41666666666666,127.83427942637904
20210809,2021-08,1,0,20689.0,0,24,10.73813149553308,12.126657977365674,9.137097648202364,18.488197441552472,0.8333333333333334,0.2916666666666667,107.66666666666667,98.5295690184643
20210828,2021-08,6,0,1799.0,9,17,10.56695979390016,11.99700285665662,10.223744012723746,15.55638019001129,0.8823529411764706,0.0,63.94117647058823,53.71743245786449
20210701,2021-07,4,0,18353.0,0,24,9.954746842668527,12.02257906980303,4.644897862465198,20.220214544749464,0.5833333333333334,0.25,138.91666666666666,134.27176880420146
20210708,2021-07,4,0,19519.0,2,24,9.242575513699963,12.373575219845486,3.9949536657909586,18.701001204348564,0.5,0.25,136.33333333333334,132.3383796675424
20210801,2021-08,7,0,0.0,0,24,8.875840382786281,8.983582127094609,-8.875840382786281,10.771127474702345,0.0,0.0,21.583333333333332,30.45917371611962
20210817,2021-08,2,0,29279.0,0,24,8.826968275142043,11.140951931746782,-8.627819620768438,17.206591907262496,0.08333333333333333,0.0,124.58333333333333,133.21115295410178
20210823,2021-08,1,0,16580.0,0,24,8.826847661063853,13.79910865830262,6.436479901680921,21.590870575105214,0.6666666666666666,0.20833333333333334,108.66666666666667,102.23018676498573
20210714,2021-07,3,0,17253.0,0,24,8.764840119742766,10.864222991738055,-2.6316617907294906,17.13611202531259,0.3333333333333333,0.20833333333333334,131.25,133.8816617907295
20210531,2021-05,1,0,17276.0,0,24,8.666655017047715,10.473984500033541,-0.5804673617373194,13.427999262065361,0.5,0.0,100.875,101.4554673617373
20210830,2021-08,1,0,10719.0,0,24,8.51405604665428,11.405466158303744,2.0588062418625275,18.6634020913965,0.3333333333333333,0.0,107.95833333333333,105.8995270914708
20210913,2021-09,1,0,14174.0,0,24,8.504987950794463,10.473640322881003,2.8793829194004155,17.358251272359364,0.5833333333333334,0.25,111.0,108.12061708059959
20210827,2021-08,5,0,25769.0,0,24,8.449634338652324,10.925945970127056,-7.650598235783072,17.049845238355445,0.08333333333333333,0.041666666666666664,128.95833333333334,136.6089315691164
20210513,2021-05,4,0,17668.0,0,24,8.347163366420602,10.097375698064752,2.747396963701343,16.35613706405426,0.7916666666666666,0.0,122.125,119.37760303629865
20210707,2021-07,3,0,19407.0,0,24,8.243366702846865,10.116273385078815,1.9261504383955164,14.445588988562337,0.5416666666666666,0.2916666666666667,134.875,132.94884956160448
20210709,2021-07,5,0,16527.0,1,24,8.23009222412267,10.542029810413059,4.2579011701011416,16.624857401578478,0.625,0.125,131.5,127.24209882989885
20210908,2021-09,3,0,20831.0,0,23,8.225069825126539,10.949972530522526,-3.470803698452506,20.870734410308625,0.5217391304347826,0.0,132.69565217391303,136.16645587236556
20210514,2021-05,5,0,17374.0,2,24,8.191104532148099,10.591439199743055,-3.890306852788896,18.815078973656306,0.4166666666666667,0.0,117.16666666666667,121.05697351945558
20210702,2021-07,5,0,19849.0,0,24,8.039311429705187,10.1982785541378,1.6942297429498716,14.942347612238413,0.5833333333333334,0.125,131.70833333333334,130.01410359038346
20210820,2021-08,5,0,25213.0,0,24,8.023567541338055,10.738885065168864,-5.768486823007588,19.06542903917835,0.20833333333333334,0.08333333333333333,130.45833333333334,136.2268201563409
20210810,2021-08,2,0,17425.0,1,24,7.982452436391718,10.438233897181872,-0.34417977806773753,17.88353546938549,0.4166666666666667,0.16666666666666666,132.875,133.21917977806774
20210716,2021-07,5,0,24412.0,0,24,7.727639286569246,10.520467657543287,0.6685107011538948,19.055714650377187,0.4166666666666667,0.16666666666666666,132.20833333333334,131.53982263217944
20210901,2021-09,3,0,19638.0,0,24,7.475158128331663,8.437639107057995,4.800263219835366,10.601461814699801,0.75,0.20833333333333334,139.29166666666666,134.4914034468313
20210814,2021-08,6,0,1529.0,16,24,7.229408443827928,11.046671610781537,-0.40471561911741044,22.225293506913292,0.20833333333333334,0.0,42.958333333333336,43.36304895245073
20210811,2021-08,3,0,19587.0,0,24,7.115044285635055,8.805291959835941,4.880141010381172,13.524799172016019,0.75,0.3333333333333333,139.0,134.11985898961882
20210902,2021-09,4,0,19351.0,0,24,6.979754181352952,8.550543235286703,6.376773682165667,12.887335238709651,0.875,0.16666666666666666,139.79166666666666,133.414892984501
20210824,2021-08,2,0,16955.0,0,24,6.9299488014524435,8.194704378988982,1.3251832428107828,12.103205818463525,0.5833333333333334,0.20833333333333334,136.33333333333334,135.00815009052255
20210818,2021-08,3,0,20063.0,0,24,6.750000419239555,8.183933377387538,-3.9329673110516628,13.001912220505435,0.3333333333333333,0.041666666666666664,129.58333333333334,133.51630064438498
20210821,2021-08,6,0,3794.0,16,24,6.711216990321522,8.45673669735565,-4.808258986579633,7.472895139270239,0.16666666666666666,0.0,45.041666666666664,49.849925653246295
20210819,2021-08,4,0,25976.0,0,24,6.492099244510918,7.709596166276709,-3.2078381105790856,13.438611728880911,0.2916666666666667,0.041666666666666664,132.95833333333334,136.16617144391242
20210831,2021-08,2,0,16443.0,0,24,6.298585305258061,8.263802463165346,0.6571105300735306,12.956946512729239,0.4166666666666667,0.041666666666666664,134.75,134.09288946992646
20210511,2021-05,2,0,22088.0,0,24,6.268229399379625,7.675715712334317,3.224968264658458,11.453683420310478,0.7083333333333334,0.08333333333333333,127.25,124.02503173534154
20210825,2021-08,3,0,22076.0,0,24,6.158434893970203,7.369587632992263,-0.7737999668756229,12.431664859730521,0.4166666666666667,0.08333333333333333,134.08333333333334,134.85713330020897
20210904,2021-09,6,0,3431.0,16,24,6.0220905473539235,7.323248962257953,4.247734183547687,10.993236664078013,0.6666666666666666,0.0,51.208333333333336,46.96059914978565
20210907,2021-09,2,0,16424.0,0,24,5.9535177090400255,7.216490022890946,3.5069919606010185,12.69069385179533,0.75,0.08333333333333333,136.70833333333334,133.20134137273234
20210812,2021-08,4,0,22339.0,0,24,5.886691855696834,7.1320963871175795,3.8361191251219133,11.99506976088394,0.75,0.20833333333333334,137.45833333333334,133.62221420821143
20210719,2021-07,1,0,13584.0,0,24,5.632579902926449,9.859018309991525,3.275704651575248,12.743353940838153,0.5833333333333334,0.2916666666666667,114.41666666666667,111.14096201509142
20210909,2021-09,4,0,17162.0,0,24,5.602545760090521,7.953267938748736,-2.933740434960742,15.331726007848186,0.4166666666666667,0.0,133.91666666666666,136.8504071016274
20210705,2021-07,1,0,15715.0,0,24,5.512132519810262,7.956782431313819,-4.757069077854851,14.560390745179618,0.20833333333333334,0.08333333333333333,105.75,110.50706907785485
20210914,2021-09,2,0,19318.0,0,24,5.456957390804877,6.855148667097176,-1.7556279677004945,10.845955868996212,0.4166666666666667,0.0,132.58333333333334,134.3389613010338
20210911,2021-09,6,0,2173.0,16,24,5.037271612631138,6.2885569463026725,-4.589269517021505,7.87368798851403,0.041666666666666664,0.0,42.833333333333336,47.42260285035484
