axis,condition,n,MAE,RMSE,bias,p90_abs_error,under_rate,peak_rate,actual_mean,pred_mean
hour,07시,87,8.755755489900993,13.236072351670298,-0.6887838097421102,19.29651606126439,0.5402298850574713,0.0,84.3103448275862,84.99912863732833
hour,08시,87,12.688575945180675,23.604230946813217,2.6587306489015194,27.82470077269412,0.6091954022988506,0.3103448275862069,118.58620689655173,115.92747624765016
hour,09시,87,11.682955703960028,21.848939114332225,2.5529442605067425,26.224052261149666,0.5632183908045977,0.3448275862068966,117.6896551724138,115.13671091190704
hour,10시,87,11.124824171788632,20.484023298798984,-0.28965661261974635,25.086136357788998,0.5287356321839081,0.26436781609195403,113.67816091954023,113.96781753215994
hour,11시,87,13.39850089017865,23.595757981090152,4.925301569748042,37.27101969260533,0.632183908045977,0.367816091954023,119.83908045977012,114.91377889002207
hour,12시,87,6.165018747605866,11.34239325214514,-0.2570815926485598,12.91352228503635,0.5402298850574713,0.0,75.91954022988506,76.17662182253362
hour,13시,88,10.655495918359446,20.67534622826987,1.5879486457906842,22.317657415668375,0.5,0.2727272727272727,114.75,113.16205135420932
hour,14시,88,11.257320591819864,20.52683152030768,1.6384200886254754,27.796135544737368,0.5795454545454546,0.36363636363636365,116.23863636363636,114.60021627501091
hour,15시,88,9.074215163163137,18.105250134878027,-1.0914882686252396,20.311331627958456,0.5227272727272727,0.045454545454545456,107.47727272727273,108.56876099589796
hour,16시,88,10.344764620086405,18.628602544527432,0.9738105617567744,20.682790584809897,0.5795454545454546,0.13636363636363635,110.48863636363636,109.51482580187958
hour,17시,87,7.886459796535511,15.365196543747302,-1.7320489403613113,17.495937570039725,0.4482758620689655,0.0,91.14942528735632,92.88147422771763
hour,18시,87,10.457695652545194,19.799877225902378,-0.34614342943654536,23.902145691790523,0.5172413793103449,0.05747126436781609,104.63218390804597,104.97832733748253
hour,19시,87,9.847460485486002,17.19964404162124,-2.0430965751617896,22.67424476834839,0.4942528735632184,0.0,96.7816091954023,98.82470577056407
hour,20시,87,8.292989084260055,15.082893171714023,0.09748814796504879,18.985955263037212,0.5402298850574713,0.0,82.97701149425288,82.87952334628783
hour,21시,87,7.228941936484067,14.01738405709297,0.05418899683653563,15.820031096107973,0.5747126436781609,0.0,82.17241379310344,82.11822479626692
hour,22시,87,6.746920762946703,12.998124471298702,-2.2186127298292924,11.5407246106673,0.5172413793103449,0.0,76.183908045977,78.40252077580631
hour,23시,87,6.386218893181257,12.520223246239919,-2.0176552287008307,13.055926976156204,0.3793103448275862,0.0,72.42528735632185,74.44294258502268
shift,야간,1044,6.710545665756523,11.815029094056303,-1.305071302698242,13.508411719996769,0.4885057471264368,0.0,73.19348659003832,74.49855789273657
shift,점심,87,6.165018747605866,11.34239325214514,-0.2570815926485598,12.91352228503635,0.5402298850574713,0.0,75.91954022988506,76.17662182253362
shift,주간,961,10.763497600411483,20.12996694039203,0.8030483877225681,25.03212315122309,0.5431841831425598,0.19667013527575442,110.1279916753382,109.32494328761562
transition,일반시각,1831,8.68468494763805,16.514522683024634,-0.20762014754591954,18.989987612360068,0.5166575641725832,0.1032222829055161,91.19716002184599,91.40478016939191
transition,전환시각(7·12·17시),261,7.602411344680791,13.415572553478569,-0.8926381142506603,17.83358475580252,0.5095785440613027,0.0,83.79310344827586,84.68574156252653
after_off,일반일,1612,9.012502374687438,17.479984450683332,-0.30329455419504253,19.162422431767734,0.5198511166253101,0.09181141439205956,95.59739454094293,95.90068909513798
after_off,휴무 직후,480,6.995278483522515,10.586491188626722,-0.25879211794498375,17.741477585809175,0.5020833333333333,0.08541666666666667,72.39375,72.65254211794499
holiday,법정공휴일,96,36.711277845555465,54.55264262545437,-35.95102797168474,101.33644765686509,0.10416666666666667,0.010416666666666666,50.395833333333336,86.34686130501807
holiday,비공휴일,1996,7.195192799054926,11.427357743325121,1.4219276790108888,16.95203125987463,0.5355711422845691,0.09418837675350701,92.19138276553106,90.76945508652015
after_prod_end,마지막 생산시간 이후,208,16.311321003916408,35.39845344880239,-12.838807464255561,81.45416259688551,0.38461538461538464,0.0,26.884615384615383,39.723422848870946
after_prod_end,생산종료 이전/해당없음,1884,7.69274561107874,12.314597113037548,1.092006854877471,18.14314560026393,0.5302547770700637,0.10031847133757962,97.27176220806794,96.17975535319046
production_band,생산 0,864,6.917763553177207,19.019475285348978,-4.109820335256134,11.271677628488217,0.4699074074074074,0.0,29.11111111111111,33.220931446367246
production_band,저생산(1~300),486,7.159263566691902,9.303762746016949,0.24033092260926384,14.36465266853704,0.5020576131687243,0.0102880658436214,106.17078189300412,105.93045097039484
production_band,중생산(301~900),302,10.625002891987853,16.261250627692334,3.10910479826227,23.058644820666554,0.5463576158940397,0.18874172185430463,137.99668874172184,134.8875839434596
production_band,고생산(900+),440,11.865424598521031,15.945400550229385,4.277280123231797,25.819011476806935,0.6,0.28863636363636364,160.0590909090909,155.78181078585914
temperature_band,22℃ 이하,567,10.478052142106197,20.780042465740834,-2.2317217327723164,22.7405538944348,0.5485008818342152,0.019400352733686066,90.0352733686067,92.26699510137901
temperature_band,22~26℃,988,7.9588518683168035,14.69539354576538,-1.3266523294697696,16.080960456247542,0.46558704453441296,0.0728744939271255,91.05263157894737,92.37928390841712
