run,seed,fold,MAE,RMSE,peakMAE,n
22 피크행 가중 6배,2,ALL,9.681322089910658,18.60981213988265,13.240363668429971,1757
22 피크행 가중 6배,2,2021-05,19.508753838547356,36.340427602388814,16.545082717619817,336
22 피크행 가중 6배,2,2021-06,1.507473933957299,1.8864124499344461,,48
22 피크행 가중 6배,2,2021-07,7.11282426510797,10.967586222923275,16.576889783681754,648
22 피크행 가중 6배,2,2021-08,7.96368655117407,10.932094484707585,6.921314806730264,725
23 Ridge 단독,0,ALL,18.33264527800214,25.630151968052164,20.316376821298764,1757
23 Ridge 단독,0,2021-05,25.745005934633138,35.177054837526484,35.26242440968262,336
23 Ridge 단독,0,2021-06,3.8372996826605204,4.502227862903317,,48
23 Ridge 단독,0,2021-07,12.786043149118283,15.864246231516642,13.92614188389704,648
23 Ridge 단독,0,2021-08,20.814606088298852,28.146139877148183,30.552586656569964,725
23 Ridge 단독,1,ALL,18.33264527800214,25.630151968052164,20.316376821298764,1757
23 Ridge 단독,1,2021-05,25.745005934633138,35.177054837526484,35.26242440968262,336
23 Ridge 단독,1,2021-06,3.8372996826605204,4.502227862903317,,48
23 Ridge 단독,1,2021-07,12.786043149118283,15.864246231516642,13.92614188389704,648
23 Ridge 단독,1,2021-08,20.814606088298852,28.146139877148183,30.552586656569964,725
23 Ridge 단독,2,ALL,18.33264527800214,25.630151968052164,20.316376821298764,1757
23 Ridge 단독,2,2021-05,25.745005934633138,35.177054837526484,35.26242440968262,336
23 Ridge 단독,2,2021-06,3.8372996826605204,4.502227862903317,,48
23 Ridge 단독,2,2021-07,12.786043149118283,15.864246231516642,13.92614188389704,648
23 Ridge 단독,2,2021-08,20.814606088298852,28.146139877148183,30.552586656569964,725
24 LGBM+Ridge 5:5,0,ALL,12.704788807049946,19.20019873429806,18.213262833365576,1757
24 LGBM+Ridge 5:5,0,2021-05,21.020022556345744,32.73468133305583,25.466217672650348,336
24 LGBM+Ridge 5:5,0,2021-06,2.0530589343793673,2.4795851888289673,,48
24 LGBM+Ridge 5:5,0,2021-07,9.575021871624259,12.484312754267451,17.49336018800262,648
24 LGBM+Ridge 5:5,0,2021-08,12.353690142609455,16.033533664106063,18.87791543469822,725
24 LGBM+Ridge 5:5,1,ALL,12.770093578461033,19.193047509878493,18.57654102980854,1757
24 LGBM+Ridge 5:5,1,2021-05,20.880755420626514,32.464155397971524,25.111448119265695,336
24 LGBM+Ridge 5:5,1,2021-06,2.1025685675835573,2.527995254722546,,48
24 LGBM+Ridge 5:5,1,2021-07,9.522895076175436,12.45684793062974,17.77468241898005,648
24 LGBM+Ridge 5:5,1,2021-08,12.6198086833377,16.28432728934833,19.45227614328307,725
24 LGBM+Ridge 5:5,2,ALL,12.463704631275741,19.060979522967322,17.976361749149117,1757
24 LGBM+Ridge 5:5,2,2021-05,20.91206264095519,32.91677380737671,26.3044093749295,336
24 LGBM+Ridge 5:5,2,2021-06,2.1139416498190724,2.542699462722869,,48
24 LGBM+Ridge 5:5,2,2021-07,9.412052359709431,12.348612737957998,17.202433101942173,648
24 LGBM+Ridge 5:5,2,2021-08,11.961099119320691,15.543996569321747,18.644333898858125,725
