model,fset,clone,MAE,RMSE,peakMAE,n,group,part
ensemble,full,keep,14.1310864534848,21.74217669650479,28.320458429928053,408.0,복제일,2021-05
ensemble,no_plan,down,14.088255249034194,20.737556827130827,24.913290084632543,408.0,복제일,2021-05
ensemble,no_plan,drop,31.601762109012896,40.80827346487732,29.696103793413425,408.0,복제일,2021-05
ensemble,no_plan,keep,15.026935860908653,22.06062136263145,28.618393989809338,408.0,복제일,2021-05
lgbm,full,down,15.085662657891056,23.211640980397693,31.24219153038204,408.0,복제일,2021-05
lgbm,full,drop,30.17477930885138,40.04688327138967,36.281178422783874,408.0,복제일,2021-05
lgbm,full,keep,14.335541359808516,22.369332051248055,29.732300944434357,408.0,복제일,2021-05
lgbm,no_plan,down,14.064614801327503,21.60687625501339,27.490466389063887,408.0,복제일,2021-05
lgbm,no_plan,drop,38.6123222573008,48.653831118455415,42.21943370184048,408.0,복제일,2021-05
lgbm,no_plan,keep,15.065672061449494,24.33925109527339,32.33534458217528,408.0,복제일,2021-05
ridge,full,down,18.68782643506011,24.99597951355563,22.93085620427399,408.0,복제일,2021-05
ridge,full,drop,176.879662222015,222.92078052954523,238.63007560192156,408.0,복제일,2021-05
ridge,full,keep,19.708546340689317,25.956989004786504,27.32750101723264,408.0,복제일,2021-05
ridge,no_plan,down,18.689028255389367,25.115256769485782,24.16935640681321,408.0,복제일,2021-05
ridge,no_plan,drop,31.601762109012896,40.80827346487732,29.696103793413425,408.0,복제일,2021-05
ridge,no_plan,keep,18.589794178339226,25.208744133367087,25.261300865102335,408.0,복제일,2021-05
baseline_lag168,-,keep,7.038690476190476,9.885806323546232,13.577464788732394,672.0,복제일,2021-06
baseline_lag24,-,keep,35.388392857142854,60.0902471089864,61.74647887323944,672.0,복제일,2021-06
baseline_요일x시간 평균,-,keep,26.8719980416409,31.969028737351366,36.01664532650449,672.0,복제일,2021-06
baseline_전체 평균,-,keep,48.09881543677074,55.17211075777812,87.59080309672603,672.0,복제일,2021-06
ensemble,full,down,8.385470366183919,11.927523447296421,15.446360060896536,672.0,복제일,2021-06
ensemble,full,drop,14.692343998796897,21.766052717230785,26.777435887481303,672.0,복제일,2021-06
ensemble,full,keep,8.44577893074958,11.66369693533972,14.974089387615143,672.0,복제일,2021-06
ensemble,no_plan,down,14.248304618530442,20.933377176591073,24.178317163302314,672.0,복제일,2021-06
ensemble,no_plan,drop,31.703319995915383,43.151527904722435,42.08954554330502,672.0,복제일,2021-06
ensemble,no_plan,keep,13.93093454724224,19.69163746576757,23.324027888770672,672.0,복제일,2021-06
lgbm,full,down,9.572939485770652,13.635379810111504,18.61587824152202,672.0,복제일,2021-06
lgbm,full,drop,14.719156305940135,22.039049200580177,26.576941807141115,672.0,복제일,2021-06
lgbm,full,keep,10.112194216401734,13.524800932934992,17.032348228413433,672.0,복제일,2021-06
lgbm,no_plan,down,17.142810273844795,25.346183017699104,26.872337939221207,672.0,복제일,2021-06
lgbm,no_plan,drop,28.019219401165802,38.937127940029974,41.195825118379545,672.0,복제일,2021-06
lgbm,no_plan,keep,17.633842320249297,25.933921000853157,27.506454246258034,672.0,복제일,2021-06
ridge,full,down,12.48635549920239,15.52556924671856,13.24353640836031,672.0,복제일,2021-06
ridge,full,drop,19.85284930546001,25.387486303942563,31.269439774647548,672.0,복제일,2021-06
ridge,full,keep,12.01178593540192,14.768592754245999,11.654289690236459,672.0,복제일,2021-06
ridge,no_plan,down,12.60513040513296,16.86274361266105,20.145793930270624,672.0,복제일,2021-06
ridge,no_plan,drop,31.703319995915383,43.151527904722435,42.08954554330502,672.0,복제일,2021-06
ridge,no_plan,keep,11.402961807906257,14.476945153527218,17.29093021248248,672.0,복제일,2021-06
baseline_lag168,-,keep,11.791666666666666,13.809718799936997,10.375,48.0,복제일,2021-07
baseline_lag24,-,keep,12.666666666666666,15.098289086294955,6.0625,48.0,복제일,2021-07
baseline_요일x시간 평균,-,keep,47.93990384615385,52.57249004767249,73.86057692307692,48.0,복제일,2021-07
baseline_전체 평균,-,keep,53.02150475751993,64.56572788492329,99.3075506445672,48.0,복제일,2021-07
ensemble,full,down,28.450809421455862,33.37124779270869,41.47270520805615,48.0,복제일,2021-07
ensemble,full,drop,29.872357029550116,38.27083655560963,41.105417141846516,48.0,복제일,2021-07
ensemble,full,keep,27.562458189141257,32.51533061541257,41.38097354247903,48.0,복제일,2021-07
ensemble,no_plan,down,23.10813249025374,27.383799805617777,36.36895107585893,48.0,복제일,2021-07
ensemble,no_plan,drop,32.92824703987129,38.14549099830861,45.55532449086614,48.0,복제일,2021-07
ensemble,no_plan,keep,21.271645246405324,25.1481252993053,33.32161426277298,48.0,복제일,2021-07
lgbm,full,down,35.67405222667173,41.71350512271873,49.677232746918904,48.0,복제일,2021-07
lgbm,full,drop,29.832966744715634,38.33937311061694,40.56359839504384,48.0,복제일,2021-07
lgbm,full,keep,33.134876301506885,39.059125945150825,48.56335738091006,48.0,복제일,2021-07
lgbm,no_plan,down,27.086741172680973,33.32951256395044,44.650026132982106,48.0,복제일,2021-07
lgbm,no_plan,drop,36.30547721495947,45.766022447943016,66.600107402408,48.0,복제일,2021-07
lgbm,no_plan,keep,27.482979507903508,33.329194621588,44.190846960582334,48.0,복제일,2021-07
ridge,full,down,17.94467183269302,23.22024835137436,22.328807617376363,48.0,복제일,2021-07
ridge,full,drop,35.768908393279666,44.0027441315756,45.98178586307063,48.0,복제일,2021-07
ridge,full,keep,12.842345798596705,17.049966903796804,14.11547446940034,48.0,복제일,2021-07
ridge,no_plan,down,18.048320548858396,20.130573296149333,23.947338490174154,48.0,복제일,2021-07
ridge,no_plan,drop,32.92824703987129,38.14549099830861,45.55532449086614,48.0,복제일,2021-07
ridge,no_plan,keep,13.48727171654665,15.71666830658743,17.017765216058947,48.0,복제일,2021-07
baseline_lag168,-,keep,20.841247833622184,43.862606506758404,33.488461538461536,2885.0,전체,개발 합산
baseline_lag24,-,keep,37.74350086655112,62.42645863975915,48.35,2885.0,전체,개발 합산
baseline_요일x시간 평균,-,keep,29.14580980837544,37.750290225416556,38.833429862341,2885.0,전체,개발 합산
baseline_전체 평균,-,keep,51.00308703345918,58.307773975855255,90.02558173436974,2885.0,전체,개발 합산
ensemble,full,down,13.584235921522339,22.109408561433554,18.484762835482353,2885.0,전체,개발 합산
ensemble,full,drop,21.847846762742186,33.98362105801812,26.994143703811076,2885.0,전체,개발 합산
ensemble,full,keep,12.891798855035288,21.73316453421726,18.749798193146752,2885.0,전체,개발 합산
ensemble,no_plan,down,14.843265468352891,24.075629961561294,24.330046037588534,2885.0,전체,개발 합산
ensemble,no_plan,drop,29.338611111607506,40.05347368793069,41.51880516681715,2885.0,전체,개발 합산
ensemble,no_plan,keep,14.691052874732266,23.868698086504338,23.393967107642492,2885.0,전체,개발 합산
lgbm,full,down,14.664825530396294,24.10819493845434,21.318761274841066,2885.0,전체,개발 합산
lgbm,full,drop,21.676379743760087,33.981503264663615,27.315160004035448,2885.0,전체,개발 합산
lgbm,full,keep,13.66099568260932,22.983839735383878,20.904195092727207,2885.0,전체,개발 합산
lgbm,no_plan,down,16.176850642520655,26.425893832744823,25.45220539267872,2885.0,전체,개발 합산
lgbm,no_plan,drop,34.06173177093825,48.3918967656617,53.05440590480278,2885.0,전체,개발 합산
lgbm,no_plan,keep,16.274008903663926,26.97794012052725,25.1476654678001,2885.0,전체,개발 합산
ridge,full,down,17.34552857340921,23.7819804880232,14.883016088032303,2885.0,전체,개발 합산
ridge,full,drop,62.57229571888898,115.36540248820805,45.96641710326761,2885.0,전체,개발 합산
ridge,full,keep,17.584099236457398,24.277424406379964,13.001460818535483,2885.0,전체,개발 합산
ridge,no_plan,down,16.480653406757902,24.239141028165122,23.15256012319118,2885.0,전체,개발 합산
